Megnevezés,Méret,Csatlakozás,Technológia,Tároló kapacitás,SSD max írás,SSD max olvasás,TBW,Világítás,Hűtőborda,Ár (FT),Méretek,PCI-e 4.0 SSD
"GOODRAM 960GB CL100 Gen.3 SATA 3 2.5"" SSDPR-CL100-960-G3","2.5""",SATA 3,TLC,960 GB,460 MB/s,540 MB/s,0 TB,Nem,Nem,34489,,
HP 1TB EX900 M.2 PCIe M.2 2280 5XM46AA,M.2 2280,M.2 PCIe,TLC,1000 GB,1500 MB/s,2100 MB/s,0 TB,Nem,Nem,46490,,
HP 1TB EX950 M.2 PCIe M.2 2280 5MS23AA,M.2 2280,M.2 PCIe,TLC,1000 GB,2900 MB/s,3500 MB/s,650 TB,Nem,Nem,54889,,
"HP 1TB S700 SATA 3 2.5"" 6MC15AA","2.5""",SATA 3,TLC,1000 GB,523 MB/s,561 MB/s,0 TB,Nem,Nem,42690,,
HP 2TB EX950 M.2 PCIe M.2 2280 5MS24AA,M.2 2280,M.2 PCIe,TLC,2000 GB,2900 MB/s,3500 MB/s,1400 TB,Nem,Nem,103990,,
HP 500GB EX900 M.2 PCIe M.2 2280 2YY44AA,M.2 2280,M.2 PCIe,TLC,500 GB,1500 MB/s,2100 MB/s,0 TB,Nem,Nem,24590,,
HP 512GB EX950 M.2 PCIe M.2 2280 5MS22AA,M.2 2280,M.2 PCIe,TLC,512 GB,2250 MB/s,3500 MB/s,320 TB,Nem,Nem,30991,,
"INTEGRALMEMORY 120GB C Series SATA 3 2.5"" INSSD120GS625C1","2.5""",SATA 3,TLC,120 GB,400 MB/s,515 MB/s,60 TB,Nem,Nem,8790,100 x 70 x 7 mm,
"INTEGRALMEMORY 120GB V Series (V2) SATA 3 2.5"" INSSD120GS625V2","2.5""",SATA 3,TLC,120 GB,300 MB/s,460 MB/s,60 TB,Nem,Nem,8890,,
INTEGRALMEMORY 240GB UltimaPro X v2 M.2 PCIe M.2 2280 INSSD240GM280NUPX2,M.2 2280,M.2 PCIe,TLC,240 GB,1050 MB/s,3300 MB/s,380 TB,Nem,Nem,17189,80 x 22 x 4 mm,
"INTEGRALMEMORY 240GB V Series SATA 3 2.5"" INSSD240GS625V2","2.5""",SATA 3,TLC,240 GB,400 MB/s,500 MB/s,60 TB,Nem,Nem,13291,,
