Megnevezés,Méret,Csatlakozás,Technológia,Tároló kapacitás (GB),SSD max írás (MB/s),SSD max olvasás (MB/s),Világítás,Hűtőborda,Ár (FT)
"APACER 120GB AS350 Panther SATA 3 2.5"" AP120GAS350-1","2.5""",SATA 3,TLC,120,298,310,Nem,Nem,8990
"SAMSUNG 1TB 870 QVO SATA 3 2.5"" MZ-77Q1T0BW (Basic garancia)","2.5""",SATA 3,QLC,1000,520,550,Nem,Nem,35289
WD 500GB Blue M.2 SATA M.2 2280 WDS500G2B0B,M.2 2280,M.2 SATA,TLC,500,530,560,Nem,Nem,19690
INTEL 512GB 660P M.2 PCIe M.2 2280 SSDPEKNW512G8XT,M.2 2280,M.2 PCIe,QLC,512,1000,1500,Nem,Nem,20490
"CRUCIAL 250GB MX500 SATA 3 2.5"" CT250MX500SSD1","2.5""",SATA 3,TLC,250,510,560,Nem,Nem,16090
"INTENSO 240GB High SATA 3 2.5"" 3813440","2.5""",SATA 3,MLC,240,500,520,Nem,Nem,11090
GIGABYTE 256GB NVMe SSD M.2 PCIe M.2 2280 GP-GSM2NE3256GNTD,M.2 2280,M.2 PCIe,TLC,256,1100,1700,Nem,Nem,15090
CRUCIAL 500GB P1 M.2 PCIe M.2 2280 CT500P1SSD8,M.2 2280,M.2 PCIe,QLC,500,950,1900,Nem,Nem,22189
"SAMSUNG 250GB 870 EVO SATA 3 2.5"" MZ-77E250B/EU (Basic garancia)","2.5""",SATA 3,TLC,250,530,560,Nem,Nem,18790
"GIGABYTE 240GB Internal SATA 3 2.5"" GP-GSTFS31240GNTD","2.5""",SATA 3,TLC,240,420,500,Nem,Nem,12891
KINGSTON 240GB A400 M.2 SATA M.2 2280 SA400M8/240G,M.2 2280,M.2 SATA,TLC,240,350,500,Nem,Nem,12390
"KINGSTON 512GB KC600 SATA 3 2.5"" SKC600/512G","2.5""",SATA 3,TLC,512,520,550,Nem,Nem,26789
WD 240GB Green M.2 SATA M.2 2280 WDS240G2G0B,M.2 2280,M.2 SATA,TLC,240,465,540,Nem,Nem,12790
CRUCIAL 1TB P1 M.2 PCIe M.2 2280 CT1000P1SSD8,M.2 2280,M.2 PCIe,QLC,1000,1700,2000,Nem,Nem,36890
"SAMSUNG 1TB 870 EVO SATA 3 2.5"" MZ-77E1T0B/EU","2.5""",SATA 3,TLC,1000,530,560,Nem,Nem,45590
SAMSUNG 250GB 860 EVO M.2 SATA M.2 2280 MZ-N6E250BW,M.2 2280,M.2 SATA,MLC,250,520,550,Nem,Nem,17990
"PNY 120GB CS900 SATA 3 2.5"" SSD7CS900-120-PB","2.5""",SATA 3,TLC,120,450,560,Nem,Nem,10690
ADATA 1TB XPG Gammix S11 Pro M.2 PCIe M.2 2280 AGAMMIXS11P-1TT-C,M.2 2280,M.2 PCIe,TLC,1000,3000,3500,Nem,Igen,50890
