Megnevezés,Méret,Csatlakozás,Technológia,Tároló kapacitás (GB),SSD max írás (MB/s),SSD max olvasás (MB/s),Világítás,Hűtőborda,Ár (FT)
"INTEGRALMEMORY 120GB V Series (V2) SATA 3 2.5"" INSSD120GS625V2","2.5""",SATA 3,TLC,120,300,460,Nem,Nem,8890
INTEGRALMEMORY 240GB UltimaPro X v2 M.2 PCIe M.2 2280 INSSD240GM280NUPX2,M.2 2280,M.2 PCIe,TLC,240,1050,3300,Nem,Nem,17189
"INTEGRALMEMORY 240GB V Series SATA 3 2.5"" INSSD240GS625V2","2.5""",SATA 3,TLC,240,400,500,Nem,Nem,13291
INTEGRALMEMORY 512GB 22x80 M.2 SATA M.2 2280 INSSD512GM280,M.2 2280,M.2 SATA,TLC,512,450,520,Nem,Nem,24790
"INTEGRALMEMORY 960GB P5 SATA 3 2.5"" INSSD960GS625P5","2.5""",SATA 3,TLC,960,540,560,Nem,Nem,39390
INTENSO 120GB High Performance M.2 PCIe M.2 2280 3834430,M.2 2280,M.2 PCIe,TLC,120,800,1700,Nem,Nem,11990
INTENSO 120GB High Performance M.2 SATA M.2 2280 3833430,M.2 2280,M.2 SATA,TLC,120,500,520,Nem,Nem,8890
INTENSO 1TB Top M.2 SATA M.2 2280 3832460,M.2 2280,M.2 SATA,TLC,1000,420,520,Nem,Nem,35890
"INTENSO 1TB Top SATA 3 2.5"" 3812460","2.5""",SATA 3,TLC,1000,420,520,Nem,Nem,35890
INTENSO 240GB High Performance M.2 PCIe M.2 2280 3834440,M.2 2280,M.2 PCIe,TLC,240,800,1700,Nem,Nem,11890
INTENSO 240GB High Performance M.2 SATA M.2 2280 3833440,M.2 2280,M.2 SATA,TLC,240,500,520,Nem,Nem,12590
INTENSO 480GB High Performance M.2 PCIe M.2 2280 3834450,M.2 2280,M.2 PCIe,TLC,480,800,1700,Nem,Nem,22690
INTENSO 480GB High Performance M.2 SATA M.2 2280 3833450,M.2 2280,M.2 SATA,TLC,480,500,520,Nem,Nem,20790
"KINGMAX 960GB SMQ SATA 3 2.5"" KM960GSMQ32","2.5""",SATA 3,QLC,960,480,540,Nem,Nem,36391
"KINGMAX 960GB SMV32 SATA 3 2.5"" KM960GSMV32","2.5""",SATA 3,TLC,960,480,500,Nem,Nem,36391
"KINGSTON 1.92TB UV500 SATA 3 2.5"" SUV500/1920G","2.5""",SATA 3,TLC,1920,500,520,Nem,Nem,100090
"KINGSTON 2TB KC600 SATA 3 2.5"" SKC600B/2048G","2.5""",SATA 3,TLC,2000,520,550,Nem,Nem,103990
KINGSTON 512GB KC600 mSATA SKC600MS/512G,mSATA,mSATA,TLC,512,520,550,Nem,Nem,25991
"KINGSTON 960GB UV500 SATA 3 2.5"" SUV500/960G","2.5""",SATA 3,TLC,960,500,520,Nem,Nem,45690
KIOXIA 1TB Exceria Plus M.2 PCIe M.2 2280 LRD10Z001TG8,M.2 2280,M.2 PCIe,TLC,1000,3200,3400,Nem,Nem,64390
KIOXIA 500GB Exceria Plus M.2 PCIe M.2 2280 LRD10Z500GG8,M.2 2280,M.2 PCIe,TLC,500,2500,3400,Nem,Nem,32290
LCPOWER 1TB Phenom M.2 PCIe M.2 2280 LC-M2-NVME-1TB,M.2 2280,M.2 PCIe,TLC,1000,1500,1800,Nem,Nem,45390
LCPOWER 1TB Phenom Pro M.2 PCIe M.2 2280 LC-M2-NVME-PRO-1TB,M.2 2280,M.2 PCIe,TLC,1000,2500,3200,Nem,Nem,53490
"LCPOWER 240GB Phoenix SATA 3 2.5"" LC-SSD-240GB","2.5""",SATA 3,TLC,240,450,510,Nem,Nem,14390
LCPOWER 256GB Phenom M.2 PCIe M.2 2280 LC-M2-NVME-256GB,M.2 2280,M.2 PCIe,TLC,256,1000,1600,Nem,Nem,16789
"LCPOWER 480GB Phoenix SATA 3 2.5"" LC-SSD-480GB","2.5""",SATA 3,TLC,480,470,550,Nem,Nem,22990
LCPOWER 512GB Phenom M.2 PCIe M.2 2280 LC-M2-NVME-512GB,M.2 2280,M.2 PCIe,TLC,512,1400,1700,Nem,Nem,24889
"LCPOWER 960GB Phoenix SATA 3 2.5"" LC-SSD-960GB","2.5""",SATA 3,TLC,960,500,550,Nem,Nem,39091
"LEXAR 128GB NS100 SATA 3 2.5"" LNS100-128RB","2.5""",SATA 3,TLC,128,520,520,Nem,Nem,10790
LEXAR 1TB NM610 M.2 PCIe M.2 2280 LNM610-1TRB,M.2 2280,M.2 PCIe,TLC,1000,1600,2100,Nem,Nem,43691
LEXAR 1TB NM700 M.2 PCIe M.2 2280 LNM700-1TRB,M.2 2280,M.2 PCIe,TLC,1000,2000,3500,Nem,Nem,51490
LEXAR 250GB NM610 M.2 PCIe M.2 2280 LNM610-250RB,M.2 2280,M.2 PCIe,TLC,250,1200,2000,Nem,Nem,15690
LEXAR 256GB NM100 M.2 SATA M.2 2280 LNM100-256RB,M.2 2280,M.2 SATA,TLC,256,550,550,Nem,Nem,13990
LEXAR 256GB NM620 M.2 PCIe M.2 2280 LNM620X256G-RNNNG,M.2 2280,M.2 PCIe,TLC,256,1300,3000,Nem,Nem,17790
LEXAR 256GB NM700 M.2 PCIe M.2 2280 LNM700-256RB,M.2 2280,M.2 PCIe,TLC,256,1200,3500,Nem,Nem,20991
"LEXAR 256GB NS100 SATA 3 2.5"" LNS100-256RB","2.5""",SATA 3,TLC,256,520,520,Nem,Nem,15490
LEXAR 500GB NM610 M.2 PCIe M.2 2280 LNM610-500RB,M.2 2280,M.2 PCIe,TLC,500,1600,2100,Nem,Nem,24790
LEXAR 512GB NM100 M.2 SATA M.2 2280 LNM100-512RB,M.2 2280,M.2 SATA,TLC,512,550,550,Nem,Nem,21789
LEXAR 512GB NM620 M.2 PCIe M.2 2280 LNM620X512G-RNNNG,M.2 2280,M.2 PCIe,TLC,512,2400,3000,Nem,Nem,26490
LEXAR 512GB NM700 M.2 PCIe M.2 2280 LNM700-512RB,M.2 2280,M.2 PCIe,TLC,512,2000,3500,Nem,Nem,31590
"LEXAR 512GB NS100 SATA 3 2.5"" LNS100-512RB","2.5""",SATA 3,TLC,512,550,550,Nem,Nem,21789
MEDIARANGE 128GB MR1021 M.2 SATA M.2 2280,M.2 2280,M.2 SATA,TLC,128,430,510,Nem,Nem,9590
"MEDIARANGE 240GB MR1002 SATA 3 2.5"" MR1002","2.5""",SATA 3,TLC,240,450,500,Nem,Nem,13390
"MEDIARANGE 480GB MR1003 SATA 3 2.5"" MR1003","2.5""",SATA 3,TLC,480,480,500,Nem,Nem,23090
"MEDIARANGE 960GB MR1004 SATA 3 2.5"" MR1004","2.5""",SATA 3,TLC,960,480,550,Nem,Nem,39190
MUSHKIN 120GB Pilot M.2 PCIe M.2 2280 MKNSSDPL120GB-D8,M.2 2280,M.2 PCIe,TLC,120,515,1215,Nem,Nem,14590
"MUSHKIN 120GB Source SATA 3 2.5"" MKNSSDSR120GB","2.5""",SATA 3,TLC,120,440,510,Nem,Nem,10490
MUSHKIN 1TB Helix-L M.2 PCIe M.2 2280 MKNSSDHL1TB-D8,M.2 2280,M.2 PCIe,TLC,1000,1700,2110,Nem,Nem,43390
MUSHKIN 1TB Pilot-E M.2 PCIe M.2 2280 MKNSSDPE1TB-D8,M.2 2280,M.2 PCIe,TLC,1000,3000,3500,Nem,Nem,52989
MUSHKIN 250GB Helix-L M.2 PCIe M.2 2280 MKNSSDHL250GB-D8,M.2 2280,M.2 PCIe,TLC,250,1250,2010,Nem,Nem,16990
"MUSHKIN 250GB Source SATA 3 2.5"" MKNSSDSR250GB","2.5""",SATA 3,TLC,250,515,560,Nem,Nem,16290
"MUSHKIN 2TB Source 2 SATA 3 2.5"" MKNSSDS22TB","2.5""",SATA 3,TLC,2000,505,560,Nem,Nem,78990
MUSHKIN 500GB Helix-L M.2 PCIe M.2 2280 MKNSSDHL500GB-D8,M.2 2280,M.2 PCIe,TLC,500,1670,2105,Nem,Nem,32890
MUSHKIN 500GB Pilot-E M.2 PCIe M.2 2280 MKNSSDPE500GB-D8,M.2 2280,M.2 PCIe,TLC,500,2300,3500,Nem,Nem,30790
"MUSHKIN 500GB Source SATA 3 2.5"" MKNSSDSR500GB","2.5""",SATA 3,TLC,500,520,560,Nem,Nem,26391
ORIGIN 1TB Internal M.2 PCIe M.2 2280 NB-1TB3DM.2/NVME,M.2 2280,M.2 PCIe,TLC,1000,1500,2750,Nem,Nem,87390
OWC 1TB Aura Pro X2 M.2 PCIe 2280 OWCS3DAPT4MA10K,M.2 2280,M.2 PCIe,TLC,1000,2400,3200,Nem,Nem,92591
OWC 1TB Aura Pro X2 M.2 PCIe 2280 OWCS3DAPT4MP10P,M.2 2280,M.2 PCIe,TLC,1000,2400,3200,Nem,Nem,88389
OWC 250GB Aura Pro M.2 SATA 2280 OWCS3DAP2A6G250,M.2 2280,M.2 SATA,MLC,480,501,503,Nem,Nem,30290
"OWC 250GB Mercury Electra 3G SATA 2 2.5"" OWCS3D7E3G250","2.5""",SATA 2,MLC,250,275,285,Nem,Nem,17390
OWC 480GB Aura 6G mSATA OWCSSDIM12D480,mSATA,mSATA,MLC,480,501,503,Nem,Nem,47890
OWC 480GB Aura Pro X2 M.2 PCIe 2280 OWCS3DAPT4MA05K,M.2 2280,M.2 PCIe,TLC,480,2400,3200,Nem,Nem,57490
"OWC 500GB Mercury Electra 3G SATA 2 2.5"" OWCS3D7E3G500","2.5""",SATA 2,MLC,500,274,260,Nem,Nem,28291
"PATRIOT 1TB P200 SATA 3 2.5"" P200S1TB25","2.5""",SATA 3,TLC,1000,460,530,Nem,Nem,44590
PATRIOT 1TB P300 M.2 PCIe M.2 2280 P300P1TBM28,M.2 2280,M.2 PCIe,TLC,1000,1650,2100,Nem,Nem,41391
PATRIOT 1TB VPN100 M.2 PCIe M.2 2280 VPN100-1TBM28B,M.2 2280,M.2 PCIe,TLC,1000,3200,3400,Nem,Igen,51290
PATRIOT 1TB VPR100 M.2 PCIe M.2 2280 VPR100-1TBM28H,M.2 2280,M.2 PCIe,TLC,1000,2900,3900,Igen,Igen,63590
PATRIOT 256GB VPR100 M.2 PCIe M.2 2280 VPR100-256GM28H,M.2 2280,M.2 PCIe,TLC,256,1000,3000,Igen,Igen,24390
"PATRIOT 2TB P210 SATA 3 2.5"" P210S2TB25","2.5""",SATA 3,TLC,2000,430,520,Nem,Nem,76590
PATRIOT 2TB P300 M.2 PCIe M.2 2280 P300P2TBM28,M.2 2280,M.2 PCIe,TLC,2000,1650,2100,Nem,Nem,96791
PATRIOT 512GB VPR100 M.2 PCIe M.2 2280 VPR100-512GM28H,M.2 2280,M.2 PCIe,TLC,512,2100,3300,Igen,Igen,37090
"PATRIOT 960GB Burst Elite SATA 3 2.5"" PBE960GS25SSDR","2.5""",SATA 3,TLC,960,320,450,Nem,Nem,34590
"PATRIOT 960GB Burst SATA 3 2.5"" PBU960GS25SSDR","2.5""",SATA 3,TLC,960,540,560,Nem,Nem,41090
"PHILIPS 240 Ultra Speed SATA 3 2.5"" PH511132","2.5""",SATA 3,TLC,240,480,550,Nem,Nem,15991
PNY 1TB CS2130 M.2 PCIe M.2 2280 M280CS2130-1TB-RB,M.2 2280,M.2 PCIe,TLC,1000,1800,3500,Nem,Nem,45590
PNY 1TB CS900 M.2 SATA M.2 2280 M280CS900-1TB-RB,M.2 2280,M.2 SATA,TLC,1000,500,535,Nem,Nem,41090
PNY 250GB CS900 M.2 SATA M.2 2280 M280CS900-250-RB,M.2 2280,M.2 SATA,TLC,250,500,535,Nem,Nem,13890
PNY 2TB CS2130 M.2 PCIe M.2 2280 M280CS2130-2TB-RB,M.2 2280,M.2 PCIe,TLC,2000,3000,3500,Nem,Nem,91190
PNY 500GB CS304 M.2 PCIe M.2 2280 M280CS3040-500-RB,M.2 2280,M.2 PCIe,TLC,500,2600,5600,Nem,Nem,42990
PNY 500GB CS900 M.2 SATA M.2 2280 M280CS900-500-RB,M.2 2280,M.2 SATA,TLC,500,500,535,Nem,Nem,23190
PNY 500GB XLR8 CS3040 M.2 PCIe M.2 2280 M280CS3040HS-500-RB,M.2 2280,M.2 PCIe,TLC,500,2600,5600,Nem,Igen,46090
"PNY 960GB CS900 SATA 3 2.5"" SSD7CS900-960-PB","2.5""",SATA 3,TLC,960,515,535,Nem,Nem,37090
